iterazione,pinguino,lunghezza
119,0,747.72
119,1,879.80
119,2,879.80
120,0,747.72
120,1,828.31
120,2,882.60
121,0,800.12
121,1,895.18
121,2,800.12
122,0,994.15
122,1,828.31
122,2,733.25
123,0,899.10
123,1,895.18
123,2,733.25
124,0,828.31
124,1,800.12
124,2,733.25
125,0,832.23
125,1,994.15
125,2,733.25
126,0,783.63
126,1,899.10
126,2,733.25
127,0,800.12
127,1,832.23
127,2,733.25
128,0,800.12
128,1,832.23
128,2,733.25
129,0,994.15
129,1,927.28
129,2,733.25
130,0,783.63
130,1,895.18
130,2,733.25
131,0,850.50
131,1,828.31
131,2,733.25
132,0,945.55
132,1,828.31
132,2,733.25
133,0,733.25
133,1,878.68
133,2,733.25
134,0,733.25
134,1,783.63
134,2,878.68
135,0,733.25
135,1,850.50
135,2,977.66
136,0,733.25
136,1,783.63
136,2,927.28
137,0,733.25
137,1,800.12
137,2,783.63
138,0,733.25
138,1,927.28
138,2,945.55
139,0,733.25
139,1,783.63
139,2,783.63
140,0,733.25
140,1,927.28
140,2,783.63
141,0,733.25
141,1,994.15
141,2,783.63
142,0,733.25
142,1,832.23
142,2,895.18
143,0,733.25
143,1,733.25
143,2,878.68
144,0,733.25
144,1,850.50
144,2,828.31
145,0,733.25
145,1,832.23
145,2,828.31
146,0,733.25
146,1,945.55
146,2,733.25
147,0,733.25
147,1,878.68
147,2,977.66
148,0,733.25
148,1,899.10
148,2,783.63
149,0,733.25
149,1,733.25
149,2,733.25
150,0,733.25
150,1,878.68
150,2,832.23
151,0,733.25
151,1,832.23
151,2,850.50
152,0,733.25
152,1,733.25
152,2,949.47
153,0,733.25
153,1,899.10
153,2,783.63
154,0,733.25
154,1,927.28
154,2,927.28
155,0,733.25
155,1,783.63
155,2,733.25
156,0,733.25
156,1,927.28
156,2,783.63
157,0,733.25
157,1,949.47
157,2,882.60
158,0,733.25
158,1,733.25
158,2,733.25
159,0,733.25
159,1,733.25
159,2,882.60
160,0,733.25
160,1,977.66
160,2,828.31
161,0,733.25
161,1,882.60
161,2,850.50
162,0,733.25
162,1,783.63
162,2,733.25
163,0,733.25
163,1,832.23
163,2,832.23
164,0,733.25
164,1,850.50
164,2,795.02
165,0,733.25
165,1,800.12
165,2,783.63
166,0,830.61
166,1,731.64
166,2,830.61
167,0,781.36
167,1,826.04
167,2,728.68
168,0,781.36
168,1,795.55
168,2,750.87
169,0,749.26
169,1,684.00
169,2,849.84
170,0,682.39
170,1,632.01
170,2,826.04
171,0,876.15
171,1,632.01
171,2,730.99
172,0,633.63
172,1,632.01
172,2,749.26
173,0,793.94
173,1,632.01
173,2,878.03
174,0,698.88
174,1,632.01
174,2,781.36
175,0,848.23
175,1,632.01
175,2,682.39
176,0,632.01
176,1,632.01
176,2,632.01
177,0,632.01
177,1,728.68
177,2,730.99
178,0,632.01
178,1,633.63
178,2,632.01
179,0,632.01
179,1,727.07
179,2,728.68
180,0,632.01
180,1,632.01
180,2,698.88
181,0,632.01
181,1,728.68
181,2,730.99
182,0,632.01
182,1,732.60
182,2,779.06
183,0,632.01
183,1,632.01
183,2,728.68
184,0,632.01
184,1,698.88
184,2,682.39
185,0,632.01
185,1,698.88
185,2,632.01
186,0,632.01
186,1,844.31
186,2,698.88
187,0,632.01
187,1,632.01
187,2,632.01
188,0,632.01
188,1,632.01
188,2,682.39
189,0,632.01
189,1,632.01
189,2,684.00
190,0,632.01
190,1,682.39
190,2,797.86
191,0,632.01
191,1,698.88
191,2,728.68
192,0,632.01
192,1,632.01
192,2,632.01
193,0,632.01
193,1,779.06
193,2,749.26
194,0,632.01
194,1,730.99
194,2,684.00
195,0,632.01
195,1,632.01
195,2,730.99
196,0,632.01
196,1,633.63
196,2,633.63
197,0,632.01
197,1,632.01
197,2,727.07
198,0,632.01
198,1,779.06
198,2,632.01
199,0,632.01
199,1,728.68
199,2,727.07
200,0,632.01
200,1,698.88
200,2,632.01
201,0,632.01
201,1,632.01
201,2,781.36
202,0,632.01
202,1,682.39
202,2,632.01
203,0,632.01
203,1,633.63
203,2,698.88
204,0,632.01
204,1,682.39
204,2,749.26
205,0,632.01
205,1,730.99
205,2,793.94
206,0,632.01
206,1,728.68
206,2,777.44
207,0,632.01
207,1,632.01
207,2,682.39
208,0,632.01
208,1,878.03
208,2,730.99
209,0,632.01
209,1,728.68
209,2,728.68
210,0,632.01
210,1,730.99
210,2,698.88
211,0,632.01
211,1,682.39
211,2,632.01
212,0,632.01
212,1,632.01
212,2,632.01
213,0,632.01
213,1,727.07
213,2,682.39
214,0,632.01
214,1,732.60
214,2,632.01
215,0,632.01
215,1,698.88
215,2,732.60
216,0,632.01
216,1,698.88
216,2,795.55
217,0,632.01
217,1,632.01
217,2,698.88
218,0,632.01
218,1,728.68
218,2,698.88
219,0,632.01
219,1,632.01
219,2,632.01
220,0,632.01
220,1,795.55
220,2,698.88
221,0,632.01
221,1,730.99
221,2,728.68
222,0,632.01
222,1,682.39
222,2,730.99
223,0,632.01
