iteration,penguin,length
20,9,661015.21
20,13,662570.48
20,2,661448.54
20,6,658622.13
20,10,655415.41
20,14,659091.15
20,3,665828.39
20,7,659301.70
20,11,656190.95
20,15,658075.86
21,8,659351.57
21,4,661793.45
21,12,657497.93
21,0,651464.51
21,9,659785.82
21,5,658728.30
21,13,655666.69
21,1,654536.47
21,10,653556.65
21,6,656865.69
21,14,659527.75
21,2,659654.60
21,11,655084.44
21,7,659744.01
21,15,661010.80
21,3,659816.03
22,8,658231.44
22,0,651464.51
22,4,661368.86
22,12,659619.52
22,9,655373.25
22,1,656393.01
22,5,658787.68
22,13,661979.53
22,10,657339.24
22,2,656742.12
22,6,659035.57
22,14,660547.09
22,11,658010.32
22,3,658739.66
22,7,662313.72
22,15,658719.21
23,0,651464.51
23,8,661270.78
23,4,655672.46
23,12,660865.03
23,1,657560.28
23,9,658711.26
23,5,660128.09
23,13,659230.53
23,2,661642.93
23,10,656702.84
23,6,660089.86
23,14,661106.33
23,3,658258.48
23,11,659727.57
23,7,655830.54
23,15,658116.83
24,8,658625.30
24,12,658898.41
24,0,651464.51
24,4,663859.40
24,9,660124.01
24,13,662857.37
24,1,658275.02
24,5,660380.97
24,10,653785.65
24,14,664219.69
24,2,659958.29
24,6,651854.46
24,11,653147.91
24,15,654342.48
24,3,659002.54
24,7,659009.81
25,0,651464.51
25,8,660292.77
25,4,664845.15
25,12,658165.00
25,1,659359.29
25,9,658015.87
25,5,658900.75
25,13,664214.09
25,2,655838.68
25,10,654594.18
25,6,659886.81
25,14,659058.04
25,3,660834.33
25,11,660785.21
25,7,658013.60
25,15,652924.86
26,0,651464.51
26,8,659112.75
26,4,661487.55
26,12,661784.32
26,1,655724.49
26,9,661318.03
26,5,655501.77
26,13,661968.19
26,2,658484.34
26,10,658186.11
26,6,659671.58
26,14,660068.96
26,3,664157.51
26,11,656203.68
26,7,663539.48
26,15,653421.03
27,8,660146.63
27,4,667000.77
27,12,660979.82
27,0,651464.51
27,9,660330.74
27,5,659637.43
27,13,661611.26
27,1,656558.91
27,10,659307.74
27,6,658911.02
27,14,661728.90
27,2,660557.65
27,11,656916.80
27,7,661659.19
27,15,658564.65
27,3,663685.83
28,8,659074.99
28,0,651464.51
28,4,662773.32
28,12,659078.27
28,9,658044.45
28,1,659437.42
28,5,651515.74
28,13,662632.71
28,10,659873.69
28,2,658689.01
28,6,660936.98
28,14,658414.94
28,11,662500.65
28,3,659692.38
28,7,659679.23
28,15,656860.38
29,0,651464.51
29,4,664182.97
29,8,658028.05
29,12,659249.00
29,1,657394.30
29,5,656355.39
29,9,660267.43
29,13,660960.74
29,2,660390.84
29,6,654975.28
29,10,653684.12
29,14,660625.30
29,3,657867.67
29,7,658037.51
29,11,660709.68
29,15,656291.21
30,8,660413.14
30,0,651464.51
30,4,659154.71
30,12,658904.11
30,9,661626.87
30,1,657587.04
30,5,657151.20
30,13,661039.69
30,10,653764.86
30,2,661369.78
30,6,657821.12
30,14,655742.87
30,11,655595.03
30,3,655889.47
30,7,660177.49
30,15,657545.99
31,4,663496.36
31,8,660203.58
31,12,659251.45
31,0,651464.51
31,5,657963.35
31,9,660792.76
31,13,660430.21
31,1,658238.08
31,6,654346.93
31,10,657816.98
31,14,661579.69
31,2,660160.78
31,7,661352.27
31,11,660384.47
31,15,660003.90
31,3,659267.88
32,8,664989.88
32,12,661844.63
32,0,654778.88
32,4,658690.53
32,9,657345.71
32,13,660363.22
32,1,662799.86
32,5,658465.88
32,10,658983.48
32,14,661597.92
32,2,659860.48
32,6,657709.11
32,11,656595.55
32,15,656694.61
32,3,661985.89
32,7,658279.72
33,12,658395.28
33,4,664038.84
33,0,656236.51
33,8,662861.89
33,13,658804.14
33,5,660083.43
33,1,662360.06
33,9,655136.18
33,14,665672.79
33,6,654951.73
33,2,661150.01
33,10,660657.12
33,15,654182.22
33,7,658686.99
33,3,659998.78
33,11,656363.77
34,12,656456.32
34,0,660057.97
34,8,660237.34
34,4,664023.42
34,13,659450.98
34,1,661658.81
34,9,653332.58
34,5,657914.33
34,14,660466.38
34,2,657252.13
34,10,656285.10
34,6,661322.50
34,15,654900.43
34,3,661010.40
34,7,661766.72
34,11,659273.63
35,12,658216.36
35,8,660516.30
35,4,663011.21
35,0,660492.51
35,13,657435.35
35,9,662668.86
35,5,659428.01
35,1,655005.94
35,14,659543.95
35,10,658114.76
35,6,654641.50
35,2,656777.89
35,15,659830.33
35,11,658213.25
35,7,656757.36
35,3,662917.70
36,12,657664.04
36,4,660098.80
36,8,656540.38
36,0,660020.12
36,13,662379.34
36,5,659034.72
36,9,662276.41
36,1,658115.69
36,6,653854.13
36,10,656918.67
36,14,658659.72
36,2,657992.30
36,7,659304.44
36,11,661811.81
36,15,658255.85
36,3,659792.95
37,12,660146.23
37,8,661951.16
37,0,664451.92
37,4,660441.49
37,13,660894.78
37,9,657608.58
37,1,659229.50
37,5,660286.74
37,14,656659.75
37,10,658500.78
37,2,661029.85
37,6,660083.60
37,15,656146.38
37,11,655729.55
37,3,658117.72
37,7,659926.36
38,12,660009.86
38,8,658078.53
38,0,659362.93
38,4,660869.78
38,13,660284.39
38,9,663912.40
38,1,656716.88
38,5,659415.18
38,14,661241.18
38,10,657951.28
38,2,659800.41
38,6,661471.23
38,15,660511.00
38,11,656207.40
38,3,657705.12
38,7,660506.94
39,12,656750.81
39,8,659514.08
39,0,659539.59
39,4,656094.50
39,13,660030.57
39,9,663714.28
39,1,655889.68
39,5,660103.01
39,14,658555.62
39,10,656743.67
39,2,656809.93
39,6,660796.45
39,15,659929.89
39,11,656014.55
39,3,660320.18
39,7,662433.79
40,4,661898.67
40,12,661188.72
40,0,657232.14
40,8,663781.57
40,5,657251.62
40,13,656662.61
40,1,658056.20
40,9,664805.40
40,6,654828.85
40,14,658962.55
40,2,656828.71
40,10,658586.63
40,7,653595.12
40,15,660666.93
40,3,657676.03
40,11,660619.96
41,12,661618.80
41,0,654695.88
41,8,657671.70
41,4,660756.80
41,13,661186.69
41,1,658914.93
41,9,658375.03
41,5,655886.31
41,14,657794.69
41,2,659402.62
41,10,657686.54
41,6,660075.14
41,15,660029.36
41,3,659864.98
41,11,656781.31
41,7,658194.55
42,0,657235.12
42,12,659182.23
42,8,657009.39
42,4,659195.77
42,1,660386.24
42,13,660569.94
42,9,664487.60
42,5,654840.65
42,2,659963.38
42,14,663498.43
42,10,657007.86
42,6,661067.70
42,3,657299.86
42,15,659243.72
42,11,659949.23
42,7,657628.69
43,12,655966.09
43,0,658412.40
43,8,663478.87
43,4,663451.21
43,13,660995.48
43,1,655250.59
43,9,664526.88
43,5,660130.87
43,14,659856.26
43,2,659343.06
43,10,659659.26
43,6,657712.56
43,15,660381.74
43,3,659937.30
43,11,658031.82
43,7,655806.36
44,12,661142.50
44,8,659662.87
44,0,655202.59
44,4,660208.49
44,13,666013.15
44,9,657877.20
44,5,658876.19
44,14,659566.28
44,10,661434.79
44,1,655551.99
44,6,656043.55
44,15,655340.37
44,11,657830.42
44,2,659439.94
44,7,657193.22
44,3,658719.66
45,12,661381.56
45,8,658351.54
45,4,665897.23
45,0,660493.31
45,13,662633.76
45,9,657424.62
45,5,657019.67
45,1,656169.56
45,14,667894.53
45,10,660561.15
45,6,657270.96
45,2,654920.19
45,15,659848.13
45,11,657828.65
45,7,657684.29
45,3,658993.47
46,8,656842.50
46,12,656581.58
46,4,660224.59
46,0,656474.42
46,9,659726.09
46,13,660382.59
46,5,658014.93
46,1,657040.62
46,10,662234.78
46,14,658111.77
46,6,658618.20
46,2,654714.08
